"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_commune","nom_commune","code_pays","nom_pays","date_ouverture"
"1300004Y","Ecole primaire de Canillo","151","Ecole élémentaire","Public","Carrer dels Esquirolets","","AD100","3041204","Canillo","AD","Andorre","03/04/1968"
"1300005Z","Ecole primaire d'Encamp","151","Ecole élémentaire","Public","Carrer René Baulard","","AD200","3040686","Encamp","AD","Andorre","03/04/1968"
"1300007B","Ecole élémentaire d'Escaldes Engordany","151","Ecole élémentaire","Public","Carrer de la Parròquia","","AD700","3040051","Escaldes-Engordany","AD","Andorre","03/04/1968"
"1300008C","Ecole primaire de La Massana","151","Ecole élémentaire","Public","Carrer de les Escoles","","AD400","3040132","La Massana","AD","Andorre","03/04/1968"
"1300009D","Ecole primaire d'Ordino","151","Ecole élémentaire","Public","","","AD300","3039678","Ordino","AD","Andorre","03/04/1968"
"1300016L","Ecole primaire du Pas de la Case","151","Ecole élémentaire","Public","Avinguda del Consell General","","AD200","3040686","Encamp","AD","Andorre","18/09/1972"
"1300017M","Ecole primaire de Santa Coloma","151","Ecole élémentaire","Public","24 Carrer de les Escoles","","AD500","3041566","Andorre-la-Vieille","AD","Andorre","12/06/1973"
"1300018N","Ecole maternelle d'Escaldes Engordany","101","Ecole maternelle","Public","Carrer de la Parròquia","","AD500","3040051","Escaldes-Engordany","AD","Andorre","23/04/1974"
"1300020R","Ecole maternelle d'Andorre-la-Vieille","101","Ecole maternelle","Public","2 Carrer Roc de l'Aldias","","AD500","3041566","Andorre-la-Vieille","AD","Andorre","17/05/1977"
"1300021S","Ecole élémentaire d'Andorre-la-Vieille","151","Ecole élémentaire","Public","41 Carrer Ciutat de Valls","","AD500","3041566","Andorre-la-Vieille","AD","Andorre","17/05/1977"
"1300023U","Lycée général et technologique Comte de Foix, Andorre la Vieille","300","Lycée d'enseignement général et technologique","Public","25 Carrer Prada Motxilla 25","","AD503","3041566","Andorre-la-Vieille","AD","Andorre","01/09/1980"
"1300025W","Ecole primaire de Sant Julià de Lòria","151","Ecole élémentaire","Public","Carrer de les Escoles","","AD600","3039163","Sant Julià de Lòria","AD","Andorre","01/09/1980"
"1300031C","Délégation à l'Enseignement Français en Andorre","805","Direction des services départementaux de l'éducation nationale","Public","5 Baixada del Molí","","AD500","3041566","Andorre-la-Vieille","AD","Andorre","01/03/1995"
"1300032D","Circonscription premier degré IEN d'Andorre","809","Circonscription d'inspection de l'éducation nationale","Public","Carrer de la Sobrevia","","AD500","3041566","Andorre-la-Vieille","AD","Andorre","01/09/2007"
