"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"2470001J","Lycée Louis Massignon d'Abou Dabi","304","Lycée français à l'étranger","Public","NEW AIRPORT EAST ROAD","ABU DHABI","","AE","Émirats arabes unis","","","01/01/1983"
"2470002K","Lycée français international Georges Pompidou de Dubaï - Charjah","304","Lycée français à l'étranger","Privé","P.O. Box 29 44 71","DUBAI","","AE","Émirats arabes unis","","","01/01/1983"
"2470003L","Lycée français Theodore Monod de Abou Dabi","304","Lycée français à l'étranger","Privé","PO BOX 59646","99999 ABOU DABI","","AE","Émirats arabes unis","","","07/03/2005"
"2470004M","Lycée français international de l'AFLEC de Dubaï","304","Lycée français à l'étranger","Privé","PO Box 22626","DUBAI","","AE","Émirats arabes unis","","","07/03/2005"
"2470005N","Lycée libanais francophone privé Meydan","304","Lycée français à l'étranger","Privé","P.O. Box 28759","DUBAI","","AE","Émirats arabes unis","","","01/09/2009"
"2470006P","Filière française de l'International Concept for Education","364","Collège français à l'étranger","Privé","Plot No Meydan - Nad Al Shiba","DUBAI","","AE","Émirats arabes unis","","","01/09/2014"
"2470007R","Lycée français Jean Mermoz","304","Lycée français à l'étranger","Privé","","","","AE","Émirats arabes unis","","","18/06/2019"
"2470008S","EM Normandie in the UAE - Campus de Dubaï","445","Ecole de commerce- gestion- comptabilité- vente","Privé","Dubai Knowledge Park","Block 14 3rd Floor","","AE","Émirats arabes unis","","","01/09/2022"
"2470009T","Ecole internationale française de Sharjah","154","Ecole primaire française à l'étranger","Privé","BPBox 28 524 -","","","AE","Émirats arabes unis","","","01/09/2023"
"2470010U","Le petit poucet","154","Ecole primaire française à l'étranger","Privé","Al Safa 1, Street 39, villa 20","Dubai","","AE","Émirats arabes unis","","","06/06/2024"
"2470011V","LYCEE FRANCAIS JEAN MERMOZ SOUTH","154","Ecole primaire française à l'étranger","Privé","Hessa Street","Dubaï","","AE","Émirats arabes unis","","","04/06/2025"
"2470012W","SKEMA Business School - Campus de Dubaï (UAE)","445","Ecole de commerce- gestion- comptabilité- vente","Privé","DIFC Academy, DIFC","BPp/o BOX - 74 777 Dubaï","","AE","Émirats arabes unis","","","01/09/2024"
