"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1310002R","Lycée français Jean Monnet de Bruxelles","304","Lycée français à l'étranger","Public","9 AVENUE DU LYCEE FRANCAIS","","1180","BE","Belgique","2800866","Bruxelles","23/11/1973"
"1310032Y","Ecole européenne de Bruxelles II  Woluwé","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","AVENUE OSCAR JESPERS 75","","1200","BE","Belgique","2800866","BRUXELLES","01/11/1996"
"1310033Z","Ecole européenne de Bruxelles I Uccle","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","avenue du vert chasseur 46","","1180","BE","Belgique","2800866","Bruxelles","01/11/1996"
"1310034A","Ecole européenne de Mol","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","EUROPAWIJK 100","","2400","BE","Belgique","2791067","MOL","01/11/1996"
"1310035B","Lycée Français International","364","Collège français à l'étranger","Privé","ANVERS 2018","Lamoriniere Straat 168a","2018","BE","Belgique","2803138","ANTWERPEN","01/09/1996"
"1310036C","Ecole européenne de Bruxelles III Ixelles","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","135 BD DU TRIOMPHE","","1050","BE","Belgique","2800866","BRUXELLES","01/09/1999"
"1310037D","Ecole européenne de Bruxelles IV","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","RUE BERKENDAEL 70 74","","1190","BE","Belgique","2800866","BRUXELLES","01/09/2006"
"1310038E","Ecole Internationale de Bruxelles","154","Ecole primaire française à l'étranger","Privé","Rue Engeland 555","Château de Latour de Freins","1180","BE","Belgique","2785123","Uccle","01/09/2020"
"1310039F","Ecole royale militaire","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Avenue de la Renaissance 30","","1000","BE","Belgique","2800866","Bruxelles","01/01/1935"
"1310040G","Faculté Polytechnique de Mons - Université de Mons","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Rue de Houdain, 9","","7000","BE","Belgique","2790869","Mons","01/01/2009"
"1310041H","Haute Ecole en Hainaut","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","4 rue Pierre-Joseph Duménil","","7000","BE","Belgique","2790869","Mons","01/01/1996"
"1310042J","Faculté d'ingénierie et d'architecture - Université de Gand","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Jozef Plateaustraat 22","","9000","BE","Belgique","2797656","Gent","02/01/1901"
"1310043K","Haute école Bruxelles-Brabant","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Rue de l'Abbaye 26","","1050","BE","Belgique","0","Ixelles","01/01/2016"
"1310044L","Faculté des sciences de l'ingénieur - KU Leuven","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Kasteelpark Arenberg 1 bus 2200","","3001","BE","Belgique","0","Louvain","01/01/1922"
"1310045M","Haute Ecole de Namur-Liège-Luxembourg","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Rue Saint-Donat, 130","","5002","BE","Belgique","0","Namur","15/09/2011"
"1310046N","Haute Ecole Robert Schuman","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Rue Fontaine aux Mûres, 13b","","6800","BE","Belgique","0","Libramont","01/01/1996"
"1310047P","Haute Ecole Libre Mosane","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Mont Saint-Martin, 45","","4000","BE","Belgique","2792413","Liège","01/01/2008"
"1310048R","Haute Ecole Louvain en Hainaut","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Chaussée de Binche, 159","","7000","BE","Belgique","2790869","Mons","01/01/2009"
"1310049S","Haute Ecole ICHEC - ECAM - ISFSC","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Bd Brand Whitlock 6","","1150","BE","Belgique","2800866","Bruxelles","20/03/1996"
"1310050T","Faculté des Sciences de l'ingénieur - Vrije Universiteit Brussel","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Pleinlaan 2","","1050","BE","Belgique","2800866","Bruxelles","28/05/1970"
"1310051U","Ecole polytechnique de Bruxelles - Université libre de Bruxelles","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Avenue Franklin Roosevelt 50","","1050","BE","Belgique","2800866","Bruxelles","01/01/2011"
"1310052V","Ecole de Bioingénierie de Bruxelles - Université libre de Bruxelles","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Avenue Franklin Roosevelt 50","","1050","BE","Belgique","2800866","Bruxelles","28/05/1970"
"1310053W","Ecole polytechnique de Louvain - Université catholique de Louvain","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Rue Archimède 1","","1348","BE","Belgique","2792073","Louvain-la-Neuve","01/01/2008"
"1310054X","Faculté des bioingénieurs - Université catholique de Louvain","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Croix du Sud","","1348","BE","Belgique","2792073","Louvain-la-Neuve","01/01/1974"
"1310055Y","Faculté d'architecture, d'ingénierie architecturale, d'urbanisme - Université catholique de Louvain","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Place du Levant, 1","","1348","BE","Belgique","2792073","Louvain-la-Neuve","01/07/2010"
"1310056Z","Faculté Gembloux Agro-Bio-Tech - Université de Liège","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Passage des Déportés, 2","","5030","BE","Belgique","2797713","Gembloux","01/01/2009"
"1310057A","Faculté des Sciences Appliquées - Université de Liège","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Allée de la Découverte, 12","Sart Tilman","4000","BE","Belgique","2792413","Liège","01/01/1970"
"1310058B","Haute Ecole de la Province de Liège","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","6, avenue Montesquieu","","4101","BE","Belgique","2794929","Jemeppe-sur-Meuse","01/09/2007"
"1310059C","Haute Ecole Provinciale de Hainaut-Condorcet","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","17, Chemin du Champ de Mars","","7000","BE","Belgique","2790869","Mons","01/09/2009"
