"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1400001R","Ecole primaire française de Genève","154","Ecole primaire française à l'étranger","Public","3 CHEMIN DES VERGERS","","1208","CH","Suisse","0","GENEVE","28/09/1966"
"1400002S","Ecole française de Berne","364","Collège français à l'étranger","Privé","SULGENRAIN 11","","3007","CH","Suisse","0","BERNE","11/10/1966"
"1400004U","Ecole française de Bâle","154","Ecole primaire française à l'étranger","Privé","ENGELGASSE 103","","4052","CH","Suisse","0","BALE","15/09/1978"
"1400005V","Lycée français de Zurich","304","Lycée français à l'étranger","Privé","Zukunftstrasse 1","8600 Dübendorf Zurich","","CH","Suisse","","","15/09/1978"
"1400012C","Ecole générale et technologique privée Lemania de Lausanne","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","CHEMIN DE PREVILLE 3","","1001","CH","Suisse","0","LAUSANNE","26/12/1974"
"1400014E","Institut International de Lancy","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","24 AVENUE EUGENE LANCE C-P 23","CH 1212 GRAND LANCY","","CH","Suisse","","","05/12/1975"
"1400015F","Ecole générale et technologique privée Institut Florimont de Petit Lancy","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","CH 1213 PETIT LANCY","","","CH","Suisse","","","05/12/1975"
"1400018J","Institut Sainte-Marcelline-Lycée Français de Lausanne","304","Lycée français à l'étranger","Privé","47 ROUTE D ORON","","1010","CH","Suisse","0","LAUSANNE","05/12/1975"
"1400020L","Ecole générale et technologique privée Institut Le Rosey de Rolle","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","Chateau du Rosey","","1180","CH","Suisse","0","ROLLE","05/12/1975"
"1400021M","Collège alpin Internat Beau-Soleil de Villars sur Ollon","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","VILLARS SUR OLLON","","","CH","Suisse","","","05/12/1975"
"1400025S","Ecole technique privée Rudolf Steiner de Geneve","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","2 CHEMIN DE NARLY","GENEVE","","CH","Suisse","","","01/01/1984"
"1400032Z","Ecole française de Berne","364","Collège français à l'étranger","Privé","SULGENRAINSTRASSE 11","","3307","CH","Suisse","0","BERNE","01/09/1985"
"1400036D","Lycée français de Zurich","304","Lycée français à l'étranger","Privé","Ursprungstrasse 10","ZURICH GOCKHAUSEN 8044","","CH","Suisse","","","01/09/1986"
"1400044M","COLLEGE GESBF PONCET GENEVE","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","CHEMIN DU VELOURS","CH 1231 CONCHES GENEVE","","CH","Suisse","","","01/09/1974"
"1400045N","LYCEE GESBF RODOLPHE TOPFFER","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","AVENUE EUGENE PITTARD,21","CH 1206 GENEVE","","CH","Suisse","","","01/09/1974"
"1400046P","ECOLE DES BUISSONNETS","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","AVENUE DU MARCHE, 5","BPCP 139 - CH 3960 SIERRE","","CH","Suisse","","","01/09/1974"
"1400047R","COLLEGE CHAMPITTET PULLY","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","Chemin de CHAMPITTET","BPCP 622 - CH 1009 PULLY","","CH","Suisse","","","01/09/1974"
"1400048S","COLLEGE GESBF DU LEMAN ECOLE INTERNATIONALE","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","ROUTE DE SAUVERNY, 74","BPCP 156 - CH 1290 VERSOIX","","CH","Suisse","","","01/09/1974"
"1400052W","Ecole Ardévaz de Sion","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","Rue des Amandiers 10","1950 SION VALAIS","","CH","Suisse","","","01/09/1979"
"1400055Z","Ecole Alliance Girsa - GESBF Veyrier","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Privé","Route de Veyrier 206","VEYRIER","","CH","Suisse","","","01/09/2021"
"1400056A","Ecole polytechnique fédérale de Lausanne","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","","","1015","CH","Suisse","0","LAUSANNE","01/01/1969"
