"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"3220001B","Lycée français Dominique Savio de Douala","304","Lycée français à l'étranger","Privé","BOITE POSTALE 1007","DOUALA","","CM","Cameroun","","","04/06/1975"
"3220002C","Lycée Fustel de Coulanges de Yaoundé","304","Lycée français à l'étranger","Privé","BP 1196","YAOUNDE","","CM","Cameroun","","","09/01/1981"
"3220007H","Ecole française Le Tinguelin de Garoua","154","Ecole primaire française à l'étranger","Privé","BP1540 - GAROUA","","","CM","Cameroun","","","01/01/1983"
"3220011M","Ecole française Les Boukarous de Maroua","154","Ecole primaire française à l'étranger","Privé","BP 369","MAROUA","","CM","Cameroun","","","01/09/1986"
"3220012N","Ecole internationale Le Flamboyant Yaoundé","154","Ecole primaire française à l'étranger","Privé","BP 6241","YAOUNDE","","CM","Cameroun","","","15/09/1988"
"3220013P","EIME - Ecole Internationale du Management et de l'Entrepreneuriat - Yaoundé (Y SCHOOLS)","445","Ecole de commerce- gestion- comptabilité- vente","Privé","Campus BASTOS-Miniprix (faceMTN)","BP 1196 -","","CM","Cameroun","","","20/08/2021"
"3220014R","EIME - Ecole Internationale du Management et de l'Entrepreneuriat - Douala (Y SCHOOLS)","445","Ecole de commerce- gestion- comptabilité- vente","Privé","BP YAOUNDE CAMEROUN","","","CM","Cameroun","","","01/09/2023"
"3220015S","Ecole Nationale Supérieure Polytechnique de Yaoundé - Université de Yaoundé 1","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Rte de Melen","Yaoundé","","CM","Cameroun","","","04/06/1971"
"3220016T","Institut Ucac-Icam","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Douala","","5504","CM","Cameroun","0","AKWA","01/01/2004"
"3220017U","Institut Saint Jean","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","BP749 - Yaoundé","","","CM","Cameroun","","","01/01/2016"
"3220018V","Institut universitaire de la Côte - Institut d'ingénierie informatique d'Afrique centrale","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","BP3001 - Douala","","","CM","Cameroun","","","01/09/2002"
