"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"2160001C","Lycée français international Charles de Gaulle de Pékin","304","Lycée français à l'étranger","Privé","13 Sanlitun Dong SI JIE","PEKIN -100600-","","CN","Chine","","","01/01/1983"
"2160010M","lycée français de Shanghaï","304","Lycée français à l'étranger","Privé","Eurocampus- N 350","201702 SHANGHAI 201702","","CN","Chine","","","01/09/1995"
"2160011N","Lycée français international Victor Segalen de Hong Kong","304","Lycée français à l'étranger","Privé","HAPPY VALLEY, GPO BOX 9814","HONG KONG","","CN","Chine","","","01/01/1983"
"2160013R","Lycée français international de Canton","154","Ecole primaire française à l'étranger","Privé","French School Favor View","510641 CANTON Guangzhou","","CN","Chine","","","01/08/1999"
"2160015T","Shanghai Sunrise Internationale Kindergaten - Le Petit Lotus Bleu","154","Ecole primaire française à l'étranger","Privé","Sunrise Montessori internationa","Xuhui district - SHANGHAI","","CN","Chine","","","01/09/2009"
"2160017V","Ecole internationale de Shekou à Shenzhen","154","Ecole primaire française à l'étranger","Privé","Jing Shan Villas, Nanhai Blvd","SHENZHEN","","CN","Chine","","","01/09/2012"
"2160018W","Ecole française internationale de Wuhan","154","Ecole primaire française à l'étranger","Privé","Zone économique","Hanyang - WUHAN","","CN","Chine","","","01/09/2012"
"2160020Y","Quality Schools International Shenzhen","154","Ecole primaire française à l'étranger","Privé","","","","CN","Chine","","","18/06/2019"
"2160021Z","Emlyon Business School - Campus Shanghai","445","Ecole de commerce- gestion- comptabilité- vente","Privé","North Zhongshan Road","BPSHANGHAI - 200062 Global Education Center","","CN","Chine","","","01/12/2022"
"2160022A","Shanghai Yangpu French School - annexe du Lycée français de Shanghai","364","Collège français à l'étranger","Privé","","","","CN","Chine","","","01/09/2023"
"2160023B","Les Petits Lascars International Kindergarten (Tseung Kwan O)","154","Ecole primaire française à l'étranger","Privé","","","","CN","Chine","","","01/09/2023"
"2160024C","Lou Pichoun French Kindergarten","154","Ecole primaire française à l'étranger","Privé","","","","CN","Chine","","","01/09/2023"
"2160025D","Tianjin International Engineering Institute","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","92 Weijin Road, Nankai District","Tianjin","","CN","Chine","","","01/01/2014"
"2160026E","Ecole nationale d'ingénieur sino-française de NJUST","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","200 Xiaolingwei","Nanjing","","CN","Chine","","","01/01/2015"
"2160027F","Ecole d'ingénieurs de Chimie Pékin (Paris Curie Engineer School) - Beijing University of Chemical Technology","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Pékin","","","CN","Chine","","","01/09/2017"
"2160028G","ESSCA Shanghai","445","Ecole de commerce- gestion- comptabilité- vente","Privé","No.390 East Ti Yu Hui Road","200081 SHANGHAI","","CN","Chine","","","01/09/2007"
"2160029H","Université Beihang (Beijing), Ecole centrale de Pékin","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","37 Xueyuan Lu Haidian Qu","100083 Beijing","","CN","Chine","","","12/04/2005"
"2160030J","Université d'aviation civile, Institut sino-européen d'ingénierie de l'aviation (Tianjin)","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Jinbei Gonglu No 2898","300300 Tianjin","","CN","Chine","","","01/09/2007"
"2160031K","Ecole d'ingénieurs Paris Shanghai Jiao Tong","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","800 Dong Chuan Road","200240 Shanghai","","CN","Chine","","","13/09/2012"
"2160032L","Université Sun Yat-sen (Zhuhai)","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","IFCEN, Sun Yat-sen University","519082 Zhuhai","","CN","Chine","","","01/09/2010"
"2160033M","Université de Tianjin","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","No. 92 Weijin Road, Nankai Distr","Tianjin","","CN","Chine","","","01/01/2014"
"2160034N","SKEMA Business School - Campus de Suzhou (Chine)","445","Ecole de commerce- gestion- comptabilité- vente","Privé","Block A4-A5, N 99 Ren'ai Road","215123 Suzhou","","CN","Chine","","","01/01/2009"
