"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1090001J","Ecole franco-allemande de Fribourg","154","Ecole primaire française à l'étranger","Privé","BELCHENSTRASSE 2","","79115","DE","Allemagne","0","FREIBURG","01/09/1994"
"1090002K","Ecole primaire française de Sarrebruck et Dilling","154","Ecole primaire française à l'étranger","Privé","HALBERGSTRASSE 112","","66121","DE","Allemagne","0","SAARBRUCK","01/01/1983"
"1090003L","Ecole élémentaire franco-allemande","154","Ecole primaire française à l'étranger","Public","BELCHENSTRASSE 2","","79115","DE","Allemagne","0","FREIBURG","18/01/1983"
"1090004M","Ecole maternelle bilingue franco-allemande Georges-Cuvier","154","Ecole primaire française à l'étranger","Privé","Eichenparkstrasse 16","","70619","DE","Allemagne","0","STUTTGART","01/01/1983"
"1090005N","Lycée français de Berlin","304","Lycée français à l'étranger","Public","DERFFLINGERSSTRASSE 7-11","","10785","DE","Allemagne","0","BERLIN","01/08/1977"
"1090006P","Lycée franco-allemand de Fribourg-en-Brisgau","304","Lycée français à l'étranger","Public","RUNZSTRASSE 83","","79102","DE","Allemagne","0","FREIBURG","01/01/1983"
"1090007R","Lycée franco-allemand de Sarrebrück","304","Lycée français à l'étranger","Public","HALBERGSTRASSE 112","","66121","DE","Allemagne","0","SARREBRUCK","16/10/1972"
"1090008S","école française de Gaulle-Adenauer de Bonn","154","Ecole primaire française à l'étranger","Privé","Meckenheimer, 45","","13439","DE","Allemagne","0","BONN","01/09/1983"
"1090009T","Lycée français international Victor Hugo","304","Lycée français à l'étranger","Public","Gontardstrasse 11","","60488","DE","Allemagne","0","FRANKFURT AM MAIN","01/09/1986"
"1090010U","Lycée français de Dusseldorf","304","Lycée français à l'étranger","Privé","GRAAF RECKE STRASSE 220","","40237","DE","Allemagne","0","DUSSELDORF","01/09/1983"
"1090011V","Lycée français Saint-Exupéry de Hambourg","304","Lycée français à l'étranger","Privé","HARTSPRUNG 23","","22529","DE","Allemagne","0","HAMBURG","01/01/1983"
"1090012W","Lycée français Jean Renoir de Munich","304","Lycée français à l'étranger","Privé","BERLEPSCHSTRASSE 3","","81373","DE","Allemagne","0","MUNICH","01/01/1983"
"1090013X","Ecole Voltaire de Berlin","364","Collège français à l'étranger","Public","Kurfurstenstrasse 53","","10785","DE","Allemagne","0","BERLIN","01/09/1994"
"1090014Y","Ecole européenne de Munich","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","ELISE AULINGER STRASSE 21","","81739","DE","Allemagne","0","MUENCHEN","01/11/1996"
"1090015Z","Ecole européenne de Karlsruhe","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","ALBERT SCHWEITZER STR. 21","","79139","DE","Allemagne","0","KARLSRUHE","01/11/1996"
"1090016A","Ecole française Pierre et Marie Curie maternelle et élementaire","154","Ecole primaire française à l'étranger","Privé","Wieblinger Weg 9","","69123","DE","Allemagne","0","HEIDELBERG","03/06/1997"
"1090017B","Ecole élémentaire franco-allemande de Stuttgart-Sillenbuch","154","Ecole primaire française à l'étranger","Public","Silberwaldstrasse 22","","70619","DE","Allemagne","0","STUTTGART","01/09/1999"
"1090018C","Ecole européenne de Francfort","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","Praunheimer Weg 126","","60439","DE","Allemagne","0","FRANKFURT-AM-MAIN","01/09/2002"
"1090023H","Ecole française de Breisach","151","Ecole élémentaire","Public","MONTESSORISTRASSE 1","","","DE","Allemagne","0","BREISACH","01/01/2016"
"1090024J","Ecole française de Fassberg","151","Ecole élémentaire","Public","Schulstraße 9","BPPOSTFACH 700 - FASSBERG","","DE","Allemagne","0","MUDEN","01/09/2016"
"1090025K","Université Paris Dauphine-PSL - Sciences des Organisations - Site de Francfort","530","Antenne délocalisée d'une composante d'université","Public","","","","DE","Allemagne","","","27/11/2019"
"1090026L","Lycée franco-allemand","304","Lycée français à l'étranger","Public","Hartsprung 23","","22529","DE","Allemagne","0","Hambourg","14/12/2021"
"1090027M","Europäische Schule RheinMain, Bad Vilbel, Allemagne","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","BAD VILBEL","","","DE","Allemagne","","","08/05/2013"
"1420072G","Ecole primaire (SEFFECSA)","151","Ecole élémentaire","Public","S P 69 954","","","DE","Allemagne","0","MULLHEIM","01/09/1992"
"1420111Z","Institut français Bonn","505","Etablissement public d'enseignement supérieur","Public","","","","DE","Allemagne","0","BONN","01/09/1982"
