"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"3010001R","Institut français d'archéologie orientale du Caire","504","Ecole francaise à l'étranger","Public","MOUNIRA BP QASR EL AINI","11562 LE CAIRE","","EG","Égypte","","","22/12/1969"
"3010002S","Lycée français du Caire","304","Lycée français à l'étranger","Public","7, rue 12","LE CAIRE","","EG","Égypte","","","18/07/1980"
"3010003T","Lycée français d'Alexandrie - MLF","304","Lycée français à l'étranger","Privé","92, rue Iskandar","Chatby - ALEXANDRIE","","EG","Égypte","","","01/09/2006"
"3010006W","lycee international HONORE DE BALZAC","364","Collège français à l'étranger","Privé","PO Box 2821 Al Horeya","LE CAIRE","11361","EG","Égypte","0","HELIOPOLIS","07/03/2005"
"3010007X","Section française de la MISR LANGUAGE SCHOOL- MLF","304","Lycée français à l'étranger","Privé","Route de Fayoum","LE CAIRE","","EG","Égypte","","","07/03/2005"
"3010008Y","SECTION FRANCAISE DU COLLEGE DU SACRE COEUR DE GHAMRA","304","Lycée français à l'étranger","Privé","194, rue Ramsès","LE CAIRE BP 11271","","EG","Égypte","","","01/09/2005"
"3010009Z","Lycée français international Simone de Beauvoir","304","Lycée français à l'étranger","Privé","BP 3033 El Salam","LE CAIRE","","EG","Égypte","","","01/09/2008"
"3010010A","Lycée Voltaire (Smart Village)","304","Lycée français à l'étranger","Privé","B149, Smart Village, Km.28","City","","EG","Égypte","","","01/09/2010"
"3010011B","Lycée Concordia du CAIRE","304","Lycée français à l'étranger","Privé","New Cairo, El Tagamo El Khamis","LE CAIRE","","EG","Égypte","","","01/09/2010"
"3010012C","Collège de la Mère de Dieu du CAIRE","304","Lycée français à l'étranger","Privé","3 rue Abd El Rahman Fahmy","LE CAIRE","","EG","Égypte","","","01/10/2010"
"3010013D","Collège-lycée de la Sainte-Famille - Le Caire","304","Lycée français à l'étranger","Privé","1 rue Boustan al Maksi","LE CAIRE","11523","EG","Égypte","0","FAGGALAH","01/09/2013"
"3010014E","Collège-lycée de la Salle du Caire","304","Lycée français à l'étranger","Privé","6 rue Sikkat Al Maski","LE CAIRE","","EG","Égypte","","","01/09/2013"
"3010015F","Lycée Albert Camus","304","Lycée français à l'étranger","Privé","New Giza campus, km 22, Cairo","6 October City","","EG","Égypte","","","11/06/2018"
"3010016G","Ecole Française d'Hurghada","154","Ecole primaire française à l'étranger","Privé","12 takssim el Nour - el Ahya","Hurgada","","EG","Égypte","","","01/09/2021"
"3010017H","Lycée Molière (international school of Egypt)","154","Ecole primaire française à l'étranger","Privé","BPPO 402 Sidi Gaber - Alexandrie","","","EG","Égypte","","","06/06/2024"
"3010018J","Ecole française de Sharm el Sheikh","154","Ecole primaire française à l'étranger","Privé","Oum el Seid","BPPO Box 385 Hadaba - 46619 Sharm El-Sheik","","EG","Égypte","","","06/06/2024"
"3010019K","Collège-lycée international français Jules Verne","364","Collège français à l'étranger","Privé","Rue de Brazaville","cité El Manar","3100","EG","Égypte","0","KAIROUAN","06/06/2024"
