"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1340002Z","Institut français de Madrid","505","Etablissement public d'enseignement supérieur","Public","MARQUES DE LA ENSENADA 10","MADRID","","ES","Espagne","","","12/08/1966"
"1340004B","Casa de Velazquez","504","Ecole francaise à l'étranger","Public","CIUDAD UNIVERSITARIA","C/ de Paul Guinard, 3","28040","ES","Espagne","0","MADRID","22/12/1969"
"1340005C","Lycée français de Madrid et son annexe St Exupéry","304","Lycée français à l'étranger","Public","PLAZA DEL LICEO 1","MADRID,28043","","ES","Espagne","","","07/04/1975"
"1340008F","Lycée français international de Málaga","304","Lycée français à l'étranger","Public","Rue Flamencos 36","","29018","ES","Espagne","0","MALAGA","09/01/1975"
"1340009G","Lycée français MLF Pierre Deschamps d'Alicante","304","Lycée français à l'étranger","Public","Camino de Marco, 21","Alicante","","ES","Espagne","","","09/01/1976"
"1340013L","Lycée français international de Valence","304","Lycée français à l'étranger","Public","C/Orenga, 20","VALENCE - 46980 PATERNA","","ES","Espagne","","","01/09/1980"
"1340014M","Ecole française Ferdinand de Lesseps de Barcelone","154","Ecole primaire française à l'étranger","Privé","GRAN VIA CORTES CATALANES 707","1340014M","08013","ES","Espagne","0","BARCELONE","01/01/1983"
"1340015N","Lycée français de Barcelone","304","Lycée français à l'étranger","Public","Bosch i Gimpera 6-10","","08034","ES","Espagne","0","BARCELONE","01/01/1983"
"1340017R","lycée français de Bilbao","304","Lycée français à l'étranger","Privé","Barrio Galbarriatu 10","BILBAO","","ES","Espagne","","","01/01/1983"
"1340018S","Lycée français international d Ibiza","304","Lycée français à l'étranger","Privé","CARRETERA DE SAN JOSE KM 2,3","IBIZA","","ES","Espagne","","","01/01/1983"
"1340019T","Lycée français -MLF- René Verneau de Las Palmas","304","Lycée français à l'étranger","Privé","C. de Taliarte s/n MELENARA","LAS PALMAS - Gran Canaria","","ES","Espagne","","","01/01/1983"
"1340023X","Lycée Molière - MLF- Villanueva de la Canada de Madrid","304","Lycée français à l'étranger","Privé","C/ Cristo, 27","MADRID","","ES","Espagne","","","01/01/1983"
"1340024Y","Lycee français - MLF-  Palma de Majorque","304","Lycée français à l'étranger","Privé","CALLE SALUD 4","07014 PALMA DE MAJORQUE 07014","","ES","Espagne","","","01/01/1983"
"1340025Z","Lycée Molière - MLF- de Saragosse","304","Lycée français à l'étranger","Privé","Calle Manuel-Marraco Ramon, 8","50018 SARAGOSSE 50018","","ES","Espagne","","","01/01/1983"
"1340027B","Lycée français de Gava Bon Soleil de Gava-Barcelone","304","Lycée français à l'étranger","Privé","Camí de la Pava, n 15","GAVA 08850 - BARCELONE","","ES","Espagne","","","01/01/1983"
"1340029D","Union Chrétienne Saint Chaumond de Madrid","304","Lycée français à l'étranger","Privé","CALLE RODRIGUEZ MARIN 30-32","","28002","ES","Espagne","0","MADRID","01/09/1983"
"1340031F","Lycée français - MLF- André-Malraux de Murcie","304","Lycée français à l'étranger","Privé","Avenida del Golf 107","30509 MURCIE- Molina de Segura","","ES","Espagne","","","01/03/1987"
"1340033H","Lycée français international de Reus - Mlf","304","Lycée français à l'étranger","Privé","Cra. Tarragona, Pda. Rojals, IV","43206 REUS - 43206","","ES","Espagne","","","01/09/1988"
"1340035K","Lycée Français International de Castilla y León - Mlf","304","Lycée français à l'étranger","Privé","Avenida de Prado Boyal","47140 Laguna de Duero","47140","ES","Espagne","0","VALLADOLID","19/07/1994"
"1340036L","Ecole Saint Louis des Français de Madrid","364","Collège français à l'étranger","Privé","Portugalete 1","MADRID","","ES","Espagne","","","24/04/1964"
"1340039P","Lycée français international BEL AIR","304","Lycée français à l'étranger","Privé","Ctra. C-246, km.42","SANT PERE DE RIBES - 08812","","ES","Espagne","","","24/12/1994"
"1340040R","Ecole européenne d'Alicante","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","Avda Locutor Vincete Hipoli s n","03450 PLAYA DE SAN JUAN","03450","ES","Espagne","0","ALICANTE","01/09/2002"
"1340041S","Lycée français - MLF de Séville","304","Lycée français à l'étranger","Privé","Centro Torneo","41002 SEVILLE - 41002","","ES","Espagne","","","07/03/2005"
"1340042T","Lycée Français International de Tenerife Jules-Verne","304","Lycée français à l'étranger","Privé","5 Calle Pedro Suarez Hernandez","SANTA CRUZ DE TENERIFE","","ES","Espagne","","","07/03/2005"
"1340043U","ECOLE MATERNELLE FRANCAISE POMME D'API","154","Ecole primaire française à l'étranger","Privé","69 Avenida de los Madronos","","28043","ES","Espagne","0","MADRID","01/09/2011"
"1340044V","Escuela superior Europea de Comercio SL Toulouse Business School","445","Ecole de commerce- gestion- comptabilité- vente","Privé","CL, TRAFALGAR Num. 10P.BJ","","08010","ES","Espagne","0","BARCELONA","01/01/2020"
"1340045W","Université Paris Dauphine-PSL - Sciences des Organisations - Campus de Madrid","530","Antenne délocalisée d'une composante d'université","Public","","","","ES","Espagne","","","27/11/2019"
"1340046X","Ecole Française Internationale de Marbella","154","Ecole primaire française à l'étranger","Privé","Calle Jacinto Benavente","Marbella, Málaga","","ES","Espagne","","","21/06/2022"
"1340047Y","ESSCA Malaga","445","Ecole de commerce- gestion- comptabilité- vente","Privé","Calle Marqués de Valdecanas, 4","","29008","ES","Espagne","0","MALAGA","18/10/2024"
