"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"3280002V","Ecoles publiques conventionnées des Charbonnages de Libreville","154","Ecole primaire française à l'étranger","Privé","BP 13935","LIBREVILLE","","GA","Gabon","","","01/09/1981"
"3280007A","Ecole publique conventionnée Gros Bouquet I de Libreville","154","Ecole primaire française à l'étranger","Privé","BP 1126","LIBREVILLE","","GA","Gabon","","","01/01/1983"
"3280011E","Ecole publique conventionnée de Libreville","154","Ecole primaire française à l'étranger","Public","BP 657","FRANCEVILLE","","GA","Gabon","","","01/01/1983"
"3280013G","Lycée Henri Sylvoz de Moanda","304","Lycée français à l'étranger","Privé","BP 275","MOANDA","","GA","Gabon","","","01/01/1983"
"3280017L","Ecole publique conventionnée d'Owendo","154","Ecole primaire française à l'étranger","Privé","BP 18030","LIBREVILLE","","GA","Gabon","","","01/01/1983"
"3280021R","Ecole primaire - MLF COMILOG","154","Ecole primaire française à l'étranger","Privé","BP 267","MOANDA","","GA","Gabon","","","01/09/1982"
"3280022S","Ecole publique conventionnée de Port-Gentil","154","Ecole primaire française à l'étranger","Privé","BP 1531","PORT GENTIL","","GA","Gabon","","","01/09/1982"
"3280030A","Lycée français Victor Hugo Port Gentil","304","Lycée français à l'étranger","Privé","QUARTIER SOBRAGA","PORT GENTIL","","GA","Gabon","","","23/10/1990"
"3280031B","Lycée français Blaise Pascal de Libreville","304","Lycée français à l'étranger","Privé","BP 20150","LIBREVILLE","","GA","Gabon","","","01/10/1990"
"3280033D","Ecole publique conventionnée Gros Bouquet II de Libreville","154","Ecole primaire française à l'étranger","Privé","BP 13063","LIBREVILLE","","GA","Gabon","","","01/01/1983"
"3280034E","Ecole Léopold Sédar Senghor de Port Gentil","154","Ecole primaire française à l'étranger","Privé","ROUTE DE LA SOBRAGA","PORT GENTIL","","GA","Gabon","","","01/09/2011"
