"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1320001J","Institut français du Royaume-Uni","505","Etablissement public d'enseignement supérieur","Public","QUEENSBERRY PL S KENSINGTON","LONDRES","","GB","Royaume-Uni","","","18/08/1966"
"1320002K","Lycée français Charles de Gaulle Londres","304","Lycée français à l'étranger","Public","35 CROMWELL ROAD","LONDRES SW7 2DG","","GB","Royaume-Uni","","","21/11/1972"
"1320003L","Ecole française de Londres Jacques Prévert","154","Ecole primaire française à l'étranger","Privé","59 BROOK GREEN","LONDRES W6 7BE","","GB","Royaume-Uni","","","01/01/1983"
"1320004M","Ecole d'entreprise Total Mission laïque française d'Aberdeen","304","Lycée français à l'étranger","Privé","1-5 WHITEHALL PLACE","ABERDEEN AB25 4RH","","GB","Royaume-Uni","","","01/01/1983"
"1320009T","Ecole L'Ile Aux Enfants de Londres","364","Collège français à l'étranger","Privé","22 VICAR'S ROAD","LONDRES NW5 4NL","","GB","Royaume-Uni","","","01/09/1984"
"1320010U","L'Ecole des Petits de Londres","154","Ecole primaire française à l'étranger","Privé","2 Hazlebury Road","LONDRES","","GB","Royaume-Uni","","","01/09/1976"
"1320011V","Ecole européenne de Culham","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","CULHAM","OX 14 3DZ OXON OX 14 3DZ","","GB","Royaume-Uni","","","01/11/1996"
"1320012W","La Petite école française de Londres","154","Ecole primaire française à l'étranger","Privé","73 Saint Charles Square","LONDRES W10 6EJ","","GB","Royaume-Uni","","","01/09/1988"
"1320013X","Ecole Le Herisson","154","Ecole primaire française à l'étranger","Privé","RIVERCOURT ROAD","LONDRES W6 9JT","","GB","Royaume-Uni","","","01/09/2001"
"1320014Y","Ecole française de BRISTOL","154","Ecole primaire française à l'étranger","Privé","PO BOX 275 Henbury Village Hall","BRISTOL BS10 7WZ","","GB","Royaume-Uni","","","07/03/2005"
"1320015Z","Ecole bilingue de Londres","154","Ecole primaire française à l'étranger","Privé","Church Street","LONDRES W2 1SJ","","GB","Royaume-Uni","","","01/09/2006"
"1320016A","Collège français bilingue de Londres","364","Collège français à l'étranger","Privé","87 Holmes road","NW5 3AX LONDRES","","GB","Royaume-Uni","","","01/09/2011"
"1320017B","Ecole Internationale Franco-Anglaise","154","Ecole primaire française à l'étranger","Privé","LONDRES","","","GB","Royaume-Uni","","","01/09/2014"
"1320018C","Lycée International de Londres - - Winston Churchill","304","Lycée français à l'étranger","Privé","54 Forty Lane","HA9 9LY LONDON","","GB","Royaume-Uni","","","16/06/2015"
"1320019D","Jeannine Manuel School","304","Lycée français à l'étranger","Privé","43-45 Bedford Square","Londres","","GB","Royaume-Uni","","","01/09/2017"
"1320020E","EM Normandie UK Limited - Campus d'Oxford","445","Ecole de commerce- gestion- comptabilité- vente","Privé","Jericho Building","OXFORD","","GB","Royaume-Uni","","","01/01/2020"
"1320021F","Université Paris Dauphine-PSL - Sciences des organisations - Campus de Londres","530","Antenne délocalisée d'une composante d'université","Public","","","","GB","Royaume-Uni","","","27/11/2019"
