"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1270001L","Institut français de Florence","505","Etablissement public d'enseignement supérieur","Public","PIAZZA D OGNISSANTI 2","FLORENCE","","IT","Italie","","","12/08/1966"
"1270002M","Institut français Napoli","505","Etablissement public d'enseignement supérieur","Public","Palazzo Il Grenoble","80 121 NAPLES","","IT","Italie","","","12/08/1966"
"1270004P","Institut français de Milan","505","Etablissement public d'enseignement supérieur","Public","Palazzo delle Stelline","corso Magenta 63","20123","IT","Italie","0","MILAN","12/08/1966"
"1270007T","Lycée Chateaubriand de Rome","304","Lycée français à l'étranger","Public","VIA DI VILLA PATRIZI,9","","00161","IT","Italie","0","ROME","05/11/1968"
"1270009V","Ecole française de Rome","504","Ecole francaise à l'étranger","Public","67 PIAZZA FARNESE","","00186","IT","Italie","0","ROME","22/12/1969"
"1270010W","Villa Medicis Académie de France","450","Ecole de formation artistique","Public","VLA MEDICIS V TRIN DEI MONTI 1","ROMA","","IT","Italie","","","15/11/1974"
"1270011X","Lycée Stendhal de Milan","304","Lycée français à l'étranger","Public","12 VIA LAVENO","","20148","IT","Italie","0","MILAN","11/12/1974"
"1270012Y","Institut Saint Dominique de Rome","304","Lycée français à l'étranger","Privé","Via Igino Lega 5","","00189","IT","Italie","0","ROME","05/12/1975"
"1270013Z","Lycée Français International Jean Giono","304","Lycée français à l'étranger","Privé","Corso Casale, 324","","10132","IT","Italie","0","TURIN","01/09/1980"
"1270014A","Lycée Victor Hugo - MLF de Florence","364","Collège français à l'étranger","Privé","Palazzo Venturi Ginori","Via della Scala, 85","50123","IT","Italie","0","FLORENCE","01/01/1983"
"1270016C","Ecole française de Naples Alexandre Dumas ( ann. lyc. Chateaubriand Rome )","364","Collège français à l'étranger","Public","VIA FRANCESCO CRISPI 86","","80121","IT","Italie","0","NAPLES","01/09/1982"
"1270020G","Institut Universitaire Européen de Florence","505","Etablissement public d'enseignement supérieur","Public","VIA DEI ROCCETTINI 5","SAN DOMENICO DI FIESOLE","","IT","Italie","","","20/09/1994"
"1270021H","Ecole européenne de Varese","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","VIA MONTELLO 118","21100","21100","IT","Italie","0","VARESE","01/11/1996"
"1270022J","La petite école française de Rome","154","Ecole primaire française à l'étranger","Privé","","","","IT","Italie","","","01/09/2023"
"1270023K","Scuola Europea di Brindisi, Italie","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","BRINDISI","","","IT","Italie","","","11/01/2017"
"1270024L","Scuola per l'Europa di Parma, Italie","305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA","Public","PARME","","","IT","Italie","","","26/07/2007"
