"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"3500002A","Lycée Lyautey de Casablanca","304","Lycée français à l'étranger","Public","260 BOULEVARD ZIRAOUI","","20040","MA","Maroc","0","CASABLANCA","04/06/1975"
"3500003B","Lycée Régnault","304","Lycée français à l'étranger","Public","13 rue Allal Ben Abdellah","","90000","MA","Maroc","0","TANGER","06/01/1977"
"3500004C","Lycée Paul Valery de Meknès","304","Lycée français à l'étranger","Public","BP S 34","","50000","MA","Maroc","0","MEKNES","10/03/1977"
"3500005D","Lycée Descartes de Rabat","304","Lycée français à l'étranger","Public","Place Jean Courtin","B.P. 768","10106","MA","Maroc","0","RABAT","12/07/1979"
"3500006E","Ecole Auguste Renoir de Marrakech","154","Ecole primaire française à l'étranger","Public","ROUTE DE LA TARGA","","40000","MA","Maroc","0","MARRAKECH","01/09/1980"
"3500007F","Groupe scolaire Paul Gauguin d'Agadir","364","Collège français à l'étranger","Public","AVENUE DES F.A.R.","","80000","MA","Maroc","0","AGADIR","01/01/1983"
"3500008G","Groupe scolaire Jean de La Fontaine de Fès","364","Collège français à l'étranger","Public","AVENUE MOULAY-SLIMANE","","30000","MA","Maroc","0","FES","01/01/1983"
"3500009H","Groupe scolaire Honoré de Balzac Kénitra","364","Collège français à l'étranger","Public","Avenue Youssef Ben Tachfine","BP 1244","14000","MA","Maroc","0","KENITRA","01/01/1983"
"3500010J","Lycée Victor Hugo de Marrakech","304","Lycée français à l'étranger","Public","ROUTE DE LA TARGA","","40000","MA","Maroc","0","MARRAKECH","01/01/1983"
"3500011K","groupe scolaire Claude Monet de Mohammedia","364","Collège français à l'étranger","Public","AVENUE YACOUB EL MANSOUR","","20800","MA","Maroc","0","MOHAMMEDIA","01/01/1983"
"3500017S","Ecole Georges Bizet de Casablanca","154","Ecole primaire française à l'étranger","Public","BOULEVARD GHANDI-CIL","","20200","MA","Maroc","0","CASABLANCA","01/01/1983"
"3500022X","Ecole Theophile Gautier de Casablanca","154","Ecole primaire française à l'étranger","Public","Bd Bir Anzarane Maârif","","20100","MA","Maroc","0","CASABLANCA","01/01/1983"
"3500025A","Ecole Moliere de Casablanca","154","Ecole primaire française à l'étranger","Public","15 BOULEVARD MOHAMED ABDOUH","Quartier Palmier","20100","MA","Maroc","0","CASABLANCA","01/01/1983"
"3500026B","Ecole Ernest Renan de Casablanca","154","Ecole primaire française à l'étranger","Public","1 RUE DE LA PIE OASIS","","20100","MA","Maroc","0","CASABLANCA","01/01/1983"
"3500027C","Lycée OSUI Jean Charcot d'El Jadida","304","Lycée français à l'étranger","Privé","AVENUE AHMED CHAWQUI","","24000","MA","Maroc","0","EL JADIDA","01/01/1983"
"3500028D","Ecole Albert Camus de Rabat","154","Ecole primaire française à l'étranger","Public","17 AVENUE DE FEZ","","10000","MA","Maroc","0","RABAT","01/01/1983"
"3500029E","Ecole Paul Cézanne de Rabat","154","Ecole primaire française à l'étranger","Public","PLACE J COURTIN","Sahat Otmane Ibn Affane","10000","MA","Maroc","0","RABAT","01/01/1983"
"3500030F","Ecole André Chénier de Rabat","154","Ecole primaire française à l'étranger","Public","32, avenue Mohamed Lyazidi","","10000","MA","Maroc","0","RABAT","01/01/1983"
"3500032H","Ecole Pierre de Ronsard de Rabat","154","Ecole primaire française à l'étranger","Public","RUE PATRICE-LUMUMBA","","10000","MA","Maroc","0","RABAT","01/01/1983"
"3500033J","Ecole Adrien Berchet de Tanger","154","Ecole primaire française à l'étranger","Public","1 RUE CHAPI","","90000","MA","Maroc","0","TANGER","01/09/1983"
"3500035L","Ecole Jean Jacques Rousseau de Meknès","154","Ecole primaire française à l'étranger","Public","BOULEVARD MOULAY YOUSSEF","","50000","MA","Maroc","0","MEKNES","01/01/1983"
"3500037N","Ecole Claude Bernard de Casablanca","154","Ecole primaire française à l'étranger","Public","RUE DE L AISNE","","20310","MA","Maroc","0","CASABLANCA","01/01/1983"
"3500039R","Collège Anatole France de Casablanca","364","Collège français à l'étranger","Public","Rue Abou Amer Ben Alala","","20300","MA","Maroc","0","CASABLANCA","01/09/1985"
"3500044W","Ecole Al Jabr de Casablanca","364","Collège français à l'étranger","Privé","40, rue Ahmed Akrad Oasis","","20100","MA","Maroc","0","CASABLANCA","16/09/1983"
"3500045X","Lycée français international Louis Massignon","304","Lycée français à l'étranger","Privé","Bouskoura","BP 6","27182","MA","Maroc","0","BOUSKOURA","01/09/1996"
"3500046Y","Ecole normale hébraique de Casablanca","304","Lycée français à l'étranger","Privé","28, rue du Chasseur Jules Cros","Oasis","20100","MA","Maroc","0","CASABLANCA","01/09/1946"
"3500047Z","Lycée Maïmonide de Casablanca","304","Lycée français à l'étranger","Privé","8 RUE D INDOCHINE","","20000","MA","Maroc","0","CASABLANCA","01/09/1970"
"3500048A","Ecole primaire Narcisse-Leven de Casablanca","154","Ecole primaire française à l'étranger","Privé","85 BD MOULAY YOUSSEF","","","MA","Maroc","0","CASABLANCA","01/09/1985"
"3500049B","Lycée français (OSUI) d'Agadir","304","Lycée français à l'étranger","Privé","BP 183 Quartier Founty","","","MA","Maroc","0","AGADIR","01/09/1997"
"3500050C","Groupe Scolaire André Malraux (OSUI) de Rabat","304","Lycée français à l'étranger","Privé","RUE KTAMA SOUISSI","","10000","MA","Maroc","0","RABAT","01/09/1997"
"3500053F","Collège Saint-Exupéry de Rabat","364","Collège français à l'étranger","Public","Rue Al Maârif","quartier aviation 5216","10105","MA","Maroc","0","RABAT","01/09/2000"
"3500054G","Groupe scolaire OSUI Jacques Majorelle et son annexe de Benguerir","364","Collège français à l'étranger","Privé","Lot vivrier n 3","Acima","40130","MA","Maroc","0","MARRAKECH","01/09/2006"
