"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"1380001B","Lycée Albert 1er Monaco","304","Lycée français à l'étranger","Public","4 PLACE DE LA VISITATION","","98000","MC","Monaco","2993458","Monaco","11/03/1988"
"1380003D","Collège Charles III Monaco","364","Collège français à l'étranger","Public","AVENUE DE L'ANNONCIADE","","98000","MC","Monaco","2993458","Monaco","08/02/1993"
"1380008J","Ecole Saint-Charles","154","Ecole primaire française à l'étranger","Public","11 AVENUE SAINT LAURENT","","98000","MC","Monaco","2993458","Monaco","01/01/1990"
"1380009K","Ecole de la Condamine","154","Ecole primaire française à l'étranger","Public","4 RUE SAIGE","","98000","MC","Monaco","2993458","Monaco","01/01/1990"
"1380010L","Cours Saint Maur de Monaco","154","Ecole primaire française à l'étranger","Privé","22 BIS BOULEVARD DE FRANCE","","98000","MC","Monaco","2993458","Monaco","01/01/1990"
"1380013P","Ecole des Revoires","154","Ecole primaire française à l'étranger","Public","63 TER BD DU JARDIN EXOTIQUE","","98000","MC","Monaco","2993458","Monaco","01/01/1990"
"1380014R","Ecole de Fontvieille","154","Ecole primaire française à l'étranger","Public","5 AVENUE DES GUELFES","","98000","MC","Monaco","2993458","Monaco","01/01/1990"
"1380016T","Etablissement François d'Assise-Nicolas Barré Monaco","304","Lycée français à l'étranger","Privé","Avenue de l'Annonciade","","98000","MC","Monaco","2993458","Monaco","08/02/1994"
"1380017U","Lycée Rainier III","304","Lycée français à l'étranger","Public","7 allée Lazare Sauvaigo","","98000","MC","Monaco","2993458","Monaco","08/02/1993"
"1380018V","Préscolaire Bosio","154","Ecole primaire française à l'étranger","Public","7 RUE BOSIO","","98000","MC","Monaco","2993458","Monaco","01/09/2002"
"1380019W","Ecole du Parc de Monaco","154","Ecole primaire française à l'étranger","Public","32 bis, boulevard de Belgique","","98000","MC","Monaco","2993458","Monaco","01/09/1977"
"1380020X","Ecole des Carmes","154","Ecole primaire française à l'étranger","Public","33 BD DU LARVOTTO","","98000","MC","Monaco","2993458","Monaco","01/09/1973"
"1380021Y","Ecole supérieure d'arts plastiques de la ville de Monaco - Pavillon Bosio","450","Ecole de formation artistique","Public","1 avenue des Pins","","98000","MC","Monaco","2993458","Monaco","01/09/2005"
"1380022Z","Institut de formation en soins infirmiers du centre hospitalier Princesse Grace","430","Ecole de formation sanitaire et sociale","Privé","Avenue Pasteur","BP 489","98000","MC","Monaco","2993458","Monaco","01/09/2009"
"1380023A","Ecole Stella","154","Ecole primaire française à l'étranger","Privé","16 rue Hubert Clerissi","","98000","MC","Monaco","2993458","Monaco","18/06/2019"
