"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"3330002T","Lycée français Sadi Carnot d'Antsiranana (Diégo-Suarez)","304","Lycée français à l'étranger","Public","BP A - Rue Sadi-Carnot","ANTSIRANANA 201","","MG","Madagascar","","","19/03/1975"
"3330003U","Lycée français de Tamatave","304","Lycée français à l'étranger","Public","BP 508 TANAMAKOA","TAMATAVE 501","","MG","Madagascar","","","19/03/1975"
"3330004V","Lycée français de Tananarive","304","Lycée français à l'étranger","Public","AMBATOBE BP 4019","TANANARIVE 101","","MG","Madagascar","","","19/03/1975"
"3330005W","Université de Madagascar","523","Université","Public","BP 566","TANANARIVE","","MG","Madagascar","","","01/01/1983"
"3330008Z","Ecole primaire française Charles Baudelaire d'Ambanja","154","Ecole primaire française à l'étranger","Privé","BP 101","AMBANJA 101","","MG","Madagascar","","","01/01/1983"
"3330009A","Ecole primaire française d'Antalaha","154","Ecole primaire française à l'étranger","Privé","Route de Vinany","ANTALAHA 206","","MG","Madagascar","","","01/01/1983"
"3330010B","Collège français Jules Verne d'Antsirabé","364","Collège français à l'étranger","Privé","LOT 02 F15","ANTSIRABE 110","","MG","Madagascar","","","01/01/1983"
"3330012D","Collège René Cassin","364","Collège français à l'étranger","Privé","BP 1331 - Isaha","FIANARANTSOA 301","","MG","Madagascar","","","01/01/1983"
"3330013E","Ecole primaire française de Fort Dauphin","154","Ecole primaire française à l'étranger","Privé","BP 187","FORT DAUPHIN 614","","MG","Madagascar","","","01/01/1983"
"3330014F","Collège français Françoise Dolto, Majunga","364","Collège français à l'étranger","Privé","Route d'Ambondrona -","MAJUNGA 401","","MG","Madagascar","","","01/01/1983"
"3330015G","Ecole primaire française de Manakara","154","Ecole primaire française à l'étranger","Privé","BP 74","MANAKARA 316","","MG","Madagascar","","","01/01/1983"
"3330017J","Collège Français Alphonse de Lamartine","364","Collège français à l'étranger","Privé","Route de Dzamandzar","NOSY BE 207","","MG","Madagascar","","","01/01/1983"
"3330019L","Ecole primaire française  A  Ampefiloha de Tananarive","154","Ecole primaire française à l'étranger","Public","BP 849","TANANARIVE 101","","MG","Madagascar","","","01/01/1983"
"3330020M","Ecole primaire française  B  Ampandrianomby de Tanarive","154","Ecole primaire française à l'étranger","Public","BP 3129","TANANARIVE 101","","MG","Madagascar","","","01/01/1983"
"3330021N","Ecole primaire française  C  Ambohibao de Tananarive","154","Ecole primaire française à l'étranger","Public","BP 3562","TANANARIVE 101","","MG","Madagascar","","","01/01/1983"
"3330023R","Lycée international français de Tuléar","364","Collège français à l'étranger","Privé","Rue Refotaka","TULEAR 601","","MG","Madagascar","","","01/01/1983"
"3330027V","Ecole La Clairefontaine de Tananarive","304","Lycée français à l'étranger","Privé","Lot II J 149F Ambodivoanjo","TANANARIVE 101","","MG","Madagascar","","","01/09/1994"
"3330028W","Collèges de France et du Monde","304","Lycée français à l'étranger","Privé","26 Rue STEFFANI Samuel AMPARIBE","TANANARIVO 101","","MG","Madagascar","","","01/07/1994"
"3330030Y","Ecole Alliance française d'Antsahabe-Tananarive","304","Lycée français à l'étranger","Privé","ANTSAHABE","TANANARIVE","","MG","Madagascar","","","01/07/1994"
"3330032A","Ecole de Mananjary","154","Ecole primaire française à l'étranger","Privé","BP 71","MANANJARY 317","","MG","Madagascar","","","01/09/2001"
"3330034C","Ecole Bird","304","Lycée français à l'étranger","Privé","VU 27 4E-MANAKAMBAHINY","TANANARIVE","","MG","Madagascar","","","01/09/2001"
"3330036E","ecole peter pan","304","Lycée français à l'étranger","Privé","1, Avenue Gandhi Mahamasina","TANANARIVE 101","","MG","Madagascar","","","01/10/1971"
"3330037F","Ecole primaire francaise D de ANALAMAHITSY","154","Ecole primaire française à l'étranger","Privé","BP 3129","TANANARIVE 101","","MG","Madagascar","","","01/04/2004"
"3330038G","Ecole La Clairefontaine de Fort Dauphin","364","Collège français à l'étranger","Privé","Ancienne route de Manantenina","FORT DAUPHIN 614","","MG","Madagascar","","","01/09/2010"
"3330039H","La Clairefontaine","364","Collège français à l'étranger","Privé","AMPAMAKIAMBATO BP 146","614 FORT DAUPHIN (Tolagnaro)","","MG","Madagascar","","","01/09/2011"
"3330040J","Ecole La Francophonie","154","Ecole primaire française à l'étranger","Privé","","","","MG","Madagascar","","","01/09/2022"
"3330041K","Les trois rivières","154","Ecole primaire française à l'étranger","Privé","Sambava Centre","Commune Urbaine Sambava","","MG","Madagascar","","","06/06/2024"
