"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"3410001Y","Lycée français Jean Mermoz de Dakar","304","Lycée français à l'étranger","Public","Avenue Cheikh Anta Diop","DAKAR","","SN","Sénégal","","","01/01/1983"
"3410002Z","Ecole franco-sénégalaise (Dial- Diop) de Dakar","154","Ecole primaire française à l'étranger","Privé","BP 6033","DAKAR PLATEAU","","SN","Sénégal","","","01/01/1983"
"3410003A","Ecole franco-sénégalaise de Fann, Dakar","154","Ecole primaire française à l'étranger","Privé","Rue Aimé-Césaire -","DAKAR FANN","","SN","Sénégal","","","01/01/1983"
"3410004B","Institution Sainte Jeanne d'Arc de Dakar","304","Lycée français à l'étranger","Privé","147 Av. Président Lamine Gueye","DAKAR","","SN","Sénégal","","","01/01/1983"
"3410005C","Cours Sainte-Marie-de-Hann de Dakar","304","Lycée français à l'étranger","Privé","BP 98","DAKAR","","SN","Sénégal","","","01/01/1983"
"3410010H","Ecole française Antoine de Saint-Exupéry de Saint-Louis","154","Ecole primaire française à l'étranger","Privé","BP 332 - Quai Roume","SAINT LOUIS","","SN","Sénégal","","","01/01/1983"
"3410012K","Ecole française Docteur Guillet de Thiès","154","Ecole primaire française à l'étranger","Privé","75 rue de Prades","THIES","","SN","Sénégal","","","01/01/1983"
"3410013L","Ecole française François Rabelais de Ziguinchor","154","Ecole primaire française à l'étranger","Privé","BOITE POSTALE 2","ZIGUINCHOR","","SN","Sénégal","","","01/01/1983"
"3410014M","Université de Dakar","523","Université","Public","DAKAR","","","SN","Sénégal","","","01/01/1983"
"3410016P","Ecole Aloys Kobes de Dakar","364","Collège français à l'étranger","Privé","5 RUE MOUSSE DIOP","DAKAR","","SN","Sénégal","","","01/09/1970"
"3410017R","Lycée Français Jacques Prévert","304","Lycée français à l'étranger","Privé","SALY","BP 99","","SN","Sénégal","","","01/04/2004"
"3410018S","Ecole Aimé Césaire - Dakar","154","Ecole primaire française à l'étranger","Privé","rue de Thann","BP2957 - DAKAR","","SN","Sénégal","","","01/09/2009"
"3410019T","Ecole maternelle des Almadies de Dakar","154","Ecole primaire française à l'étranger","Privé","Boulevard du Front de Mer","DAKAR","","SN","Sénégal","","","01/09/2010"
"3410020U","Ecole actuelle bilingue de Dakar","154","Ecole primaire française à l'étranger","Privé","Corniche Ouest","BPBP 21901 - DAKAR","","SN","Sénégal","","","01/09/2012"
"3410021V","Ecole Saint-Exupéry","154","Ecole primaire française à l'étranger","Privé","BPSENEGAL -","","","SN","Sénégal","","","21/06/2022"
"3410022W","Etablissement scolaire Mission libanaise","154","Ecole primaire française à l'étranger","Privé","DAKAR","29 BVD DE LA REPUBLIQUE - DAKAR","","SN","Sénégal","","","21/06/2022"
"3410023X","Le Collège Bilingue","304","Lycée français à l'étranger","Privé","DAKAR","BPSENEGAL - en face la Cité Socabeg","","SN","Sénégal","","","21/06/2022"
"3410024Y","Les Petites Mains","154","Ecole primaire française à l'étranger","Privé","DAKAR FANN","BPBP 15533 -","","SN","Sénégal","","","21/06/2022"
"3410025Z","Ecole franco-sénégalaise","154","Ecole primaire française à l'étranger","Public","","","","SN","Sénégal","","","01/09/2023"
"3410026A","Ecole maternelle privée - L'île Aux Enfants","154","Ecole primaire française à l'étranger","Privé","","","","SN","Sénégal","","","01/09/2023"
"3410027B","African International School","364","Collège français à l'étranger","Privé","","","","SN","Sénégal","","","01/09/2023"
"3410028C","Ecole polytechnique de Thiès","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","Diakhao, VCN","Thiès","","SN","Sénégal","","","25/05/1973"
