"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"3510001U","Lycée français Gustave Flaubert de La Marsa","304","Lycée français à l'étranger","Privé","16 RUE OTHMAN KAAK","LA MARSA 2078","","TN","Tunisie","","","10/04/1975"
"3510003W","Lycée Pierre Mendès France de Tunis","304","Lycée français à l'étranger","Public","9 rue Pierre Mendès France","El Mahrajène","1082","TN","Tunisie","0","TUNIS","01/01/1983"
"3510005Y","Collège Charles Nicolle de Sousse","364","Collège français à l'étranger","Public","Villa Marini","Rue Soeur Joséphine","4000","TN","Tunisie","0","SOUSSE","01/01/1983"
"3510007A","Ecole Jean Giono de Bizerte","154","Ecole primaire française à l'étranger","Public","18 RUE HABIB THAMEUR","","7000","TN","Tunisie","0","BIZERTE","01/01/1983"
"3510012F","Ecole Paul Verlaine de La Marsa","154","Ecole primaire française à l'étranger","Public","16, rue Othman-Kaak","LA MARSA 2070","","TN","Tunisie","","","01/01/1983"
"3510013G","Ecole Georges Brassens de Megrine","154","Ecole primaire française à l'étranger","Public","7 RUE MONGI BALI","","2033","TN","Tunisie","0","MEGRINE","01/01/1983"
"3510016K","Ecole George Sand de Nabeul","154","Ecole primaire française à l'étranger","Public","Avenue Taieb-Mehiri","","8000","TN","Tunisie","0","NABEUL","01/01/1983"
"3510018M","Ecole Guy de Maupassant de Sousse","154","Ecole primaire française à l'étranger","Public","Boulevard El Ghazali","","4000","TN","Tunisie","0","SOUSSE","01/01/1983"
"3510022S","Ecole Robert Desnos, El Omrane de Tunis","154","Ecole primaire française à l'étranger","Public","92 route de l'Hopital Militaire","EL OMRANE","1005","TN","Tunisie","0","TUNIS","07/09/1988"
"3510023T","Ecole internationale de CARTHAGE","304","Lycée français à l'étranger","Privé","Jardins de Carthage","Ain Zaghouan","2046","TN","Tunisie","0","TUNIS","01/09/2009"
"3510024U","Ecole René Descartes de Tunis","304","Lycée français à l'étranger","Privé","04 rue BIR RADHOUANE","ARIANA-TUNIS","","TN","Tunisie","","","01/09/2013"
"3510026W","Ecole Internationale Victor Hugo","304","Lycée français à l'étranger","Privé","","","","TN","Tunisie","","","18/06/2019"
"3510027X","Ecole Internationale de Sfax","304","Lycée français à l'étranger","Privé","","","","TN","Tunisie","","","18/06/2019"
"3510028Y","Ecole Simone de Beauvoir","304","Lycée français à l'étranger","Privé","","","","TN","Tunisie","","","18/06/2019"
"3510029Z","EIF Ecole Internationale Française","364","Collège français à l'étranger","Privé","","","","TN","Tunisie","","","18/06/2019"
"3510030A","Groupe scolaire Gustave Eiffel","304","Lycée français à l'étranger","Privé","Avenue Ain Mariem","7000","","TN","Tunisie","","","01/09/2020"
"3510031B","Ecole Jean Jaurès","364","Collège français à l'étranger","Privé","Archevêché de La Marsa Sidi Dhri","2026","","TN","Tunisie","","","01/09/2020"
"3510032C","Ecole Alphonse Daudet","154","Ecole primaire française à l'étranger","Privé","Avenue Mohamed Abdou, Bouhsina","4000","","TN","Tunisie","","","01/09/2020"
"3510033D","Ecole internationale de Tunis","304","Lycée français à l'étranger","Privé","","","","TN","Tunisie","","","01/09/2020"
"3510034E","Groupe scolaire René Descartes Tunis Berges du Lac","304","Lycée français à l'étranger","Privé","","","","TN","Tunisie","","","01/09/2020"
"3510035F","Lycée Français International M'hamed Driss","304","Lycée français à l'étranger","Privé","Technopole","Sousse","","TN","Tunisie","","","01/09/2021"
"3510036G","Ecole Jean Racine","154","Ecole primaire française à l'étranger","Privé","9, rue Mohamed Hedi Amri","Tunis","","TN","Tunisie","","","01/09/2021"
"3510037H","ISC El Menzah","364","Collège français à l'étranger","Privé","ARIANA","Avenue des Jasmins - 2073 ARIANA","","TN","Tunisie","","","21/06/2022"
"3510038J","Charles Baudelaire - Lumière de Connaissance","154","Ecole primaire française à l'étranger","Privé","","","","TN","Tunisie","","","01/09/2023"
"3510039K","Lycée international Victor Hugo","304","Lycée français à l'étranger","Privé","","","","TN","Tunisie","","","01/09/2024"
"3510040L","Groupe scolaire Michel Foucault","154","Ecole primaire française à l'étranger","Privé","9, rue Adam Smith","2080 La Soukra, Aariana","","TN","Tunisie","","","06/06/2024"
"3510041M","Fondation Bouebdelli - Ecole Louis Pasteur Gammarth","154","Ecole primaire française à l'étranger","Privé","rue El Halaj","2046 Sidi Daoued, Tunis","","TN","Tunisie","","","06/06/2024"
"3510042N","Fondation Bouebdelli - Lycée Louis Pasteur Gammarth","364","Collège français à l'étranger","Privé","rue El Halaj","2046 Sidi Daoued, Tunis","","TN","Tunisie","","","06/06/2024"
"3510043P","Ecole internationale française - Monastir","154","Ecole primaire française à l'étranger","Privé","Technopôle Route Khemis","Monastir","","TN","Tunisie","","","06/06/2024"
"3510044R","Marguerite Duras","154","Ecole primaire française à l'étranger","Privé","","","8000","TN","Tunisie","0","NABEUL","06/06/2024"
"3510045S","Collège international français Jean Racine","364","Collège français à l'étranger","Privé","Ariana","","","TN","Tunisie","","","04/06/2025"
"3510046T","Ecole internationale privée EIS","304","Lycée français à l'étranger","Privé","Sfax","","","TN","Tunisie","","","04/06/2025"
