"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"4040004J","Lycée français de New York-Manhattan","154","Ecole primaire française à l'étranger","Privé","505 EAST 75TH STREET","","10021","US","États-Unis","0","MANHATTAN","19/09/1974"
"4040005K","Lycée français de Los Angeles","304","Lycée français à l'étranger","Public","3261 OVERLAND AVENUE","LOS ANGELES 3589","90034","US","États-Unis","0","LOS ANGELES","01/09/1982"
"4040006L","Ecole franco-américaine Lincoln de Chicago (EFAC)","154","Ecole primaire française à l'étranger","Privé","615 West Kemper Place","ILLINOISCHICA","60614","US","États-Unis","0","CHICAGO","01/01/1987"
"4040008N","Ecole française internationale de Denver","154","Ecole primaire française à l'étranger","Privé","206 Red Cross Way","","80230","US","États-Unis","0","DENVER","01/01/1983"
"4040009P","Ecole française de Detroit","364","Collège français à l'étranger","Privé","7100 Lindenmere Drive","Bloomfield Hills","48301","US","États-Unis","0","DETROIT","01/01/1983"
"4040011S","Section francaise d'Awty International School d'Houston","304","Lycée français à l'étranger","Privé","7455 AWTY SCHOOL LANE","","77055","US","États-Unis","0","HOUSTON","01/01/1983"
"4040012T","Lycée international de Boston","304","Lycée français à l'étranger","Privé","45 Matignon Road","","02140","US","États-Unis","0","CAMBRIDGE","01/01/1983"
"4040014V","Lycée franco-américain de New York - FASNY Mamaroneck","304","Lycée français à l'étranger","Privé","145 New Street","","10543","US","États-Unis","0","MAMARONECK","01/01/1983"
"4040015W","French international School of Oregon","364","Collège français à l'étranger","Privé","8500 NW Johnson Street","PORTLAND 6780","97229","US","États-Unis","0","PORTLAND","01/01/1983"
"4040016X","Kennedy International School","364","Collège français à l'étranger","Privé","225 EAST 43RD STREET","","10017","US","États-Unis","0","NEW YORK","01/01/1983"
"4040017Y","Lycée français de San Francisco","304","Lycée français à l'étranger","Privé","Campus de Ortega","1201 Ortega Street","94122","US","États-Unis","0","SAN FRANCISCO","01/01/1983"
"4040018Z","The international School of San Francisco","304","Lycée français à l'étranger","Privé","150 OAK STREET","SAN FRANCISCO,CA94102-5912","","US","États-Unis","0","SAN FRANCISCO","01/09/1962"
"4040019A","Ecole bilingue de Berkeley","364","Collège français à l'étranger","Privé","1009 HEINZ AVENUE","Californie-Berkeley","94710","US","États-Unis","0","BERKELEY","01/01/1983"
"4040021C","Rochambeau - The French International School","304","Lycée français à l'étranger","Privé","9600 Forest Road","","","US","États-Unis","0","WASHINGTON DC","01/01/1983"
"4040022D","Ecole Internationale de La Peninsule de Palo Alto","364","Collège français à l'étranger","Privé","151 LAURA LANE","PALO ALTO 3221","94303","US","États-Unis","0","PALO ALTO","01/01/1983"
"4040031N","Ecole internationale d'Atlanta","154","Ecole primaire française à l'étranger","Privé","2890 NORTH FULTON DRIVE","ATLANTA  3155","30305","US","États-Unis","0","ATLANTA","01/09/1985"
"4040032P","Section française des écoles publiques internationales du comté de Dade-Miami","304","Lycée français à l'étranger","Privé","4901 LINCLNDRIVE","","33133","US","États-Unis","0","MIAMI","15/09/1986"
"4040033R","Audubon charter school","364","Collège français à l'étranger","Privé","428 Broadway","NEW ORLEANS Louisiana 701","","US","États-Unis","0","NOUVELLE ORLEANS","01/09/1988"
"4040035T","Ecole Franco-Américaine de San Diego","364","Collège français à l'étranger","Privé","6550 Soledad Mountain Road.","","92037","US","États-Unis","0","LA JOLLA","02/05/1988"
"4040037V","Lycée international de Los Angeles -LILA-","304","Lycée français à l'étranger","Privé","4155 RUSSELL AVENUE","","90027","US","États-Unis","0","LOS ANGELES","28/05/1993"
"4040038W","Ecole internationale des Nations Unies (UNIS) de New York","154","Ecole primaire française à l'étranger","Privé","24-50 F D ROOSEVELT DRIVE","NEW YORK 4046","10010","US","États-Unis","0","NEW YORK","01/07/1994"
"4040039X","Ecole internationale -MLF de Dallas","364","Collège français à l'étranger","Privé","6039 Churchill Way","","75230","US","États-Unis","0","DALLAS","01/07/1994"
"4040040Y","Ecole française internationale de Philadelphie","364","Collège français à l'étranger","Privé","150 North Highland Avenue","Bala Cynwyd","19004","US","États-Unis","0","PHILADELPHIE","01/07/1994"
"4040042A","Ecole franco-américaine de la Silicon Valley de Sunnyvale","154","Ecole primaire française à l'étranger","Privé","1522 LEWISTON DRIVE","","94807","US","États-Unis","0","SUNNYVALE","01/09/1992"
"4040043B","Ecole franco-américaine de Rhode Island, Providence","154","Ecole primaire française à l'étranger","Privé","75 John Street","","02906","US","États-Unis","0","PROVIDENCE","13/09/1994"
"4040044C","Lycée français de Chicago","304","Lycée français à l'étranger","Privé","613 West Bittersweet Place","","60613","US","États-Unis","0","CHICAGO","16/03/1996"
"4040045D","Ecole franco-américaine de Miami","154","Ecole primaire française à l'étranger","Privé","6565 Red Road","Coral Gables, FL 3","","US","États-Unis","0","MIAMI","01/01/1995"
"4040046E","Ecole franco-américaine du Puget Sound de Seattle","364","Collège français à l'étranger","Privé","3795 East Mercer Way","Mercer Island","98040","US","États-Unis","0","SEATTLE","01/09/1995"
"4040048G","Ecole internationale de Washington","154","Ecole primaire française à l'étranger","Privé","1690 36TH STREET, NW","WASHINGT2355","20007","US","États-Unis","","","01/09/1967"
