"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"2430001F","Lycée français Alexandre Yersin de Hanoï","304","Lycée français à l'étranger","Privé","12, Nui Truc-","HANOI","","VN","Vietnam","","","01/10/1982"
"2430002G","Lycée français international Marguerite-Duras de Ho Chi Minh-Ville","304","Lycée français à l'étranger","Public","Route N 11 Long Binh","HO CHI MINH VILLE","","VN","Vietnam","","","01/09/1975"
"2430003H","Ecole Boule et Billes","154","Ecole primaire française à l'étranger","Privé","183A Dien Bien Phu","BPHo Chi Minh-Ville - Arr. 15 site 1","","VN","Vietnam","","","28/06/2016"
"2430004J","Saint Ange","154","Ecole primaire française à l'étranger","Privé","","","","VN","Vietnam","","","18/06/2019"
"2430005K","La Petite Ecole","154","Ecole primaire française à l'étranger","Public","Thao Dien district 2 - 70000 HCM","234 Nguyen Van Huong","","VN","Vietnam","","","01/09/2020"
"2430006L","Université d'architecture de Hanoï - Viet Nam","455","Ecole d'architecture","Public","Université d'architecture Hanoï","Hanoï","","VN","Vietnam","","","01/10/2019"
"2430007M","Institut polytechnique de Hô-Chi-Minh-Ville","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","268 Ly Thuong Kiet","Ho Chi Minh Ville","","VN","Vietnam","","","01/01/2001"
"2430008N","Ecole supérieure de génie civil d'Hanoï","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","55 Giai Phong, Hai Ba Trung","Ha Noi","","VN","Vietnam","","","08/08/1966"
"2430009P","Institut Polytechnique de Hanoi","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","1 Dai Co Viet, Hai Ba Trung","Ha Noi","","VN","Vietnam","","","15/10/1956"
"2430010R","Institut Polytechnique de Danang","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","54 Nguyen Luong Bang , Hoà Khánh","Da Nang","","VN","Vietnam","","","01/01/1975"
"2430011S","Ecole maternelle internationale Acacia de Hanoï","154","Ecole primaire française à l'étranger","Privé","No 10, alley 94, To Ngoc Van str","Hanoï","","VN","Vietnam","","","06/06/2024"
"2430012T","La petite école Hanoï","154","Ecole primaire française à l'étranger","Privé","52 B Tay Ho Street","100 000 Quan An Ward, Hanoi","","VN","Vietnam","","","06/06/2024"
