"code","nom"
"**","Quel que soit le contrat"
"!!","Inconnu du gestionnaire"
"10","Hors contrat"
"20","Contrat simple pour toutes les classes"
"21","Contrat simple pour une partie des classes"
"30","Contrat d'association pour toutes les classes"
"31","Contrat d'association pour une partie des classes"
"40","Contrats simple et d'association pour toutes les classes"
"41","Contrats simple et d'association pour une partie des classes"
"50","Reconnu par l'Etat"
"60","Sous contrat établissement agricole"
"99","Sans objet"
