"code","nom"
"$","Non renseigné"
"***","Quelle que soit la nature de l'UAI"
"-","Sans objet"
"101","Ecole maternelle"
"102","Ecole maternelle annexe d'INSPE"
"103","Ecole maternelle d'application"
"111","Ecole maternelle spécialisée"
"151","Ecole élémentaire"
"152","Ecole élémentaire annexe d'INSPE"
"153","Ecole élémentaire d'application"
"154","Ecole primaire française à l'étranger"
"160","Ecole de plein air"
"161","Ecole autonome de perfectionnement"
"162","Ecole élémentaire spécialisée"
"169","Ecole régionale du premier degré"
"170","Ecole sans effectif permanent"
"200","Etablissement hospitalier"
"210","Etablissement de lutte contre la tuberculose"
"220","Maison d'enfants à caractère sanitaire"
"230","Maison de réadaptation fonctionnelle"
"240","Institut médico-éducatif"
"241","Institut/Dispositif intégré thérapeutique éducatif et pédagogique (ITEP/DITEP)"
"242","Instituts d'éducation Motrice (IEM)"
"245","Etablissement pour poly-handicapés"
"246","Instituts d'éducation sensorielle (IES) pour déficients visuels dont INJA"
"247","Instituts d'éducation sensorielle (IES) pour déficients auditifs dont INJS"
"248","Instituts d'éducation sensorielle (IES) pour sourds-aveugles"
"249","Etablissement médico-expérimental"
"250","Etablissement national de bienfaisance"
"260","Foyer de l'enfance"
"261","Maison d'enfants à caractère social"
"270","Institution spéciale d'éducation spécialisée"
"271","Centre d'action éducative"
"280","Etablissement pénitentiaire"
"281","Unité pédagogique régionale pénitentiaire"
"290","Service d'éducation spécialisée et de soins à domicile"
"291","Centre médico-psycho-pédagogique"
"292","Centre d'action médico-sociale précoce"
"300","Lycée d'enseignement général et technologique"
"301","Lycée d'enseignement technologique"
"302","Lycée d'enseignement général"
"303","Lycée international"
"304","Lycée français à l'étranger"
"305","Ecole européenne- des réseaux groupements des GESBF et SEFFECSA"
"306","Lycée polyvalent"
"307","Lycée d'enseignement général- technologique et professionnel agricole"
"310","Lycée climatique"
"312","Ecole secondaire spécialisée (second cycle)"
"315","Lycée expérimental"
"320","Lycée professionnel"
"322","Ecole de métiers"
"332","Ecole professionnelle spécialisée dans l'accueil d'élèves en situation de handicap"
"334","Section d'enseignement professionnel"
"335","Section d'enseignement général ou technologique"
"336","Section d'enseignement technologique"
"340","Collège"
"341","Cours complémentaire privé"
"342","Groupement d'observation dispersé"
"343","Collège international"
"344","Centre d'éducation aux technologies appropriées au développement"
"345","Centre de jeunes adolescents"
"346","Collège expérimental"
"349","Etablissement de réinsertion scolaire"
"350","Collège climatique"
"352","Collège spécialisé"
"360","Lycee d'enseignement industriel"
"361","Lycée d'enseignement commercial"
"362","Lycee d'enseignement social et familial"
"364","Collège français à l'étranger"
